ChatId,PersonType,PersonId,CreatedAt,PlainText,isPrivate
UC-2026-0001,user,U-0001,1754451945300,어제 주문했는데 언제 출고되나요?,False
UC-2026-0001,manager,M-0001,1754452980086,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0002,user,U-0002,1754894662143,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0002,manager,M-0002,1754895769488,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 24,800원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0003,user,U-0003,1755078792859,제주도인데 배송되나요?,False
UC-2026-0003,manager,M-0003,1755079769983,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0003,user,U-0003,1755081192859,빠른 확인 감사합니다,False
UC-2026-0004,user,U-0004,1748754092086,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0004,manager,M-0004,1748755523657,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0004,user,U-0004,1748756492086,빠른 확인 감사합니다,False
UC-2026-0005,user,U-0005,1753003762046,송장번호가 안 떠요,False
UC-2026-0005,manager,M-0005,1753005476845,출고 당일 저녁에 송장이 등록됩니다. 등록되면 알림톡으로 보내드립니다.,False
UC-2026-0005,user,U-0005,1753006162046,빠른 확인 감사합니다,False
UC-2026-0006,user,U-0006,1752143084344,배송지를 잘못 입력했어요,False
UC-2026-0006,manager,M-0006,1752144651336,송장 출력 전이라 변경 가능합니다. 주문번호와 새 주소를 남겨 주세요.,False
UC-2026-0006,user,U-0006,1752145484344,네 알겠습니다,False
UC-2026-0007,user,U-0007,1747718484568,어제 주문했는데 언제 출고되나요?,False
UC-2026-0007,manager,M-0007,1747719186298,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0007,user,U-0007,1747720884568,네 알겠습니다,False
UC-2026-0008,user,U-0008,1752306512650,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0008,manager,M-0008,1752306636702,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 24,800원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0009,user,U-0009,1749271157137,제주도인데 배송되나요?,False
UC-2026-0009,manager,M-0009,1749272583203,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0009,user,U-0009,1749273557137,네 알겠습니다,False
UC-2026-0010,user,U-0010,1747992373788,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0010,manager,M-0010,1747993487799,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0011,user,U-0011,1748402560660,송장번호가 안 떠요,False
UC-2026-0011,manager,M-0011,1748403784565,출고 당일 저녁에 송장이 등록됩니다. 등록되면 알림톡으로 보내드립니다.,False
UC-2026-0011,user,U-0011,1748404960660,네 알겠습니다,False
UC-2026-0012,user,U-0012,1754896309967,배송지를 잘못 입력했어요,False
UC-2026-0012,manager,M-0012,1754897464130,송장 출력 전이라 변경 가능합니다. 주문번호와 새 주소를 남겨 주세요.,False
UC-2026-0012,user,U-0012,1754898709967,네 알겠습니다,False
UC-2026-0013,user,U-0013,1747620605815,어제 주문했는데 언제 출고되나요?,False
UC-2026-0013,manager,M-0013,1747621044920,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0013,user,U-0013,1747623005815,네 알겠습니다,False
UC-2026-0014,user,U-0014,1748753161982,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0014,manager,M-0014,1748753639067,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 19,900원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0015,user,U-0015,1753697207564,제주도인데 배송되나요?,False
UC-2026-0015,manager,M-0015,1753698435019,"제주 지역은 배송 가능합니다. 도서산간 추가 배송비 3,000원이 부과됩니다.",False
UC-2026-0016,user,U-0016,1751784235376,오늘 시키면 내일 받을 수 있나요?,False
UC-2026-0016,manager,M-0016,1751785777030,오후 2시 이전 결제하시면 당일 출고되고 보통 출고 후 1~2일 내 도착합니다.,False
UC-2026-0017,user,U-0017,1752293689422,송장번호가 안 떠요,False
UC-2026-0017,manager,M-0017,1752295246765,출고 당일 저녁에 송장이 등록됩니다. 등록되면 알림톡으로 보내드립니다.,False
UC-2026-0017,user,U-0017,1752296089422,빠른 확인 감사합니다,False
UC-2026-0018,user,U-0018,1750642834390,배송지를 잘못 입력했어요,False
UC-2026-0018,manager,M-0018,1750644168737,송장 출력 전이라 변경 가능합니다. 주문번호와 새 주소를 남겨 주세요.,False
UC-2026-0018,user,U-0018,1750645234390,네 알겠습니다,False
UC-2026-0019,user,U-0019,1747714375411,어제 주문했는데 언제 출고되나요?,False
UC-2026-0019,manager,M-0019,1747714684015,평일 오후 2시 이전 결제 건은 당일 출고됩니다. 어제 오후 결제셔서 오늘 출고 예정입니다.,False
UC-2026-0019,user,U-0019,1747716775411,빠른 확인 감사합니다,False
UC-2026-0020,user,U-0020,1753671334470,배송비가 왜 붙었나요? 무료 아닌가요?,False
UC-2026-0020,manager,M-0020,1753671518815,"30,000원 이상 구매 시 무료배송입니다. 이번 주문은 12,900원이라 배송비 3,000원이 부과됐습니다.",False
UC-2026-0020,user,U-0020,1753673734470,빠른 확인 감사합니다,False
UC-2026-0021,user,U-0021,1748842375903,제주도인데 배송되나요?,False
